,신문사url,기사타이틀,기사url,요약기사
45,http://joongang.joins.com/,시내 주행으로는 딱이네…중국 열광시킨 720만원 전기차 [뉴스원샷],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005662275,전기차종에서도 가격이 저렴한 경차 출시가 본격화하고 있다. 특히 내연차에서도 경차가 많이 팔렸던 유럽과 가성비가 뛰어난 차량이 많이 출시된 중국에서 경형 전기차의 인기가 높다. 테슬라의 전기차 중...
46,http://news1.kr/,송영길 '1면에서 사라진 뉴스는?',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001653549,= 송영길 더불어민주당 대표가 17일 국회에서 열린 '고발사주 국기문란 진상조사 TF 발대식'에서 일간지 1면에 '윤석열 징계' 관련 법원 판단 보도기사가 없다며 비판하고 있다. 2021.10.17/1
47,http://ch1.tbroad.com/,"[Btv 부산뉴스]'사상구, 아동 학대...대응 체계 구축'",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001154298,"한편 부산에서는 지난 2월, 광역시.도에서는 처음으로 고신대학교와 대동병원, 광혜병원, 세웅병원 등 4개 병원이 아동학대 전담의료기관으로 지정됐습니다. B tv 뉴스 박철우입니다.///// 영상 취재 박동욱"
48,http://www.ytn.co.kr/,"[자막뉴스] ""추위, 상당히 오래 지속""...한반도 상공 현재 상황",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=006&aid=0000110106,"한라산 고지대가 하루 만에 겨울 왕국으로 변했습니다. 붉은색 단풍이 물들어야 할 나무에는 은빛 서리꽃이 활짝 폈습니다. 서울 등 내륙에서도 올가을 첫 얼음이 관측됐는데, 서울의 첫얼음은 지난해보다는 일주일..."
49,http://imnews.imbc.com/,1부 오늘의 주요뉴스,,"◀ 앵커 ▶ '대장동 특혜·로비 의혹'의 핵심 인물인 남욱 변호사가 조금 전 인천공항을 통해 귀국했습니다. 남 변호사는 미국 로스앤젤레스 공항에서 출국에 앞서 ""모든 것은 들어가 검찰에서 소상하게 말씀드리겠다""고..."
50,http://www.mediatoday.co.kr/,'김어준의 뉴스공장' PD가 말하는 '정치적 편향성' 논란,,"""기울어진 운동장의 균형을 맞추는 관점 미디어의 선두주자""와 ""우리편이 열광하는, 뉴스를 신념으로 소비하게 만드는 가장 큰 스피커"". TBS '김어준의 뉴스공장'을 향한 상반된 평가가 나왔다. 한국언론학회가 주최하고..."
51,http://news1.kr/,[뉴스1 PICK] 전운 감도는 경기도 국감장,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005662231,국회 행정안전위원회의 경기도에 대한 국정감사를 하루 앞둔 17일 오후 경기도 수원시 팔달구 경기도청에서 도청 관계자들이 국정감사를 준비하고 있다. 이재명 더불어민주당 대선 후보가 18일 경기도지사로서 국회...
52,http://www.bbsfm.co.kr/,[BBS 알찬뉴스] 10월 18일(월),https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003142877,1. 평택 보국사에서 펼쳐진 108 희망 콘서트 도심 속 전통사찰 경기도 평택 보국사에서 코로나19 소멸을 발원하는 음성 공양의 향연이 펼쳐졌습니다. 조계종 포교사이자 메조소프라노 김혜은 성악가는 보국사 경내에서...
53,http://joongang.joins.com/,전국에 ‘하얀가루’ 뿌렸다…100억 매출 찍고 유재석 만난 그 [뉴스원샷],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=028&aid=0002564135,태평양을 건너온 뉴스에 자극받아서다. 미국 실리콘밸리에 기반을 둔 라이다 업체인 벨로다인이 1억 달러 넘는 투자를 유치했다는 소식을 들었다. 또 다른 라이다 개발업체인 이스라엘 이노비즈엔 삼성전자와 네이버...
54,http://www.hani.co.kr/,[뉴스AS] 반도체 ‘공급난’이라는데 가격 떨어진다고?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003104260,한때 ‘10만 전자’를 내다보던 삼성전자 주가가 지난 12일 6만원대(종가 기준)로 떨어졌다. 마침 올 3분기(7~9월)에 사상 최대 분기 기준 매출 기록을 낸 터였다. 시장은 삼성전자의 매출 상당 부분을 차지하는...
55,http://www.khan.co.kr/,경복궁 채운 멋스러운 궁중문화 [포토뉴스],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=109&aid=0004492984,서울 경복궁에서 17일 열린 궁중문화축전 ‘궁으로 온 팔도강산-대동예(藝)지도’를 찾은 시민들이 꽃무늬 우산으로 꾸며진 ‘쪽빛 하늘을 담은 궁-나주’를 감상하고 있다.
56,http://www.osen.co.kr/,'오징어 게임' 오영수→'스우파' 모니카…'뉴스데스크+' 성공적 (놀면 뭐하니?) [종합],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=052&aid=0001653608," '놀면 뭐하니?'가 '뉴스데스크+' 녹화를 성공적으로 끝마쳤다. 16일 방송된 MBC '놀면 뭐하니?+'에서는 신입 기자 유재석, 정준하, 하하, 신봉선, 러블리즈 미주가 만드는 '뉴스데스크+'가 공개됐다. 이날 유재석은 서울의 한..."
57,http://www.ytn.co.kr/,"[자막뉴스] 미·러 군함, 50분 간 '기싸움'...60m 앞까지 근접했던 당시 상황",,지난 15일 오후 5시쯤 동해 북쪽의 러시아 블라디보스토크 앞바다. 중국과 러시아가 해상 합동 훈련을 하던 이 해역 에 미군 구축함 채피호가 나타났습니다. 구축함 뒤쪽에는 미국 국기가 보이는 헬기 한 대 가 요란한...
58,http://ch1.tbroad.com/,[Btv 부산뉴스]수영구 광안리해변에 국화꽃 단지 조성,,수영구는 광안리 민락해변공원 광장과 만남의 광장 일원에 국 화꽃 단지를 조성했다고 밝혔습니다. 이 단지에는 국화꽃 5만 송이를 전시하고 산책로에는 포토존 도 만들었습니다. 구는 또 이달 30일 저녁 7시부터 한 시간...
59,http://ch1.tbroad.com/,[Btv 부산뉴스]부산시 ‘부산맛꼬’ 온라인 판로 개척,,"부산시는 부산지방우정청과 공영홈쇼핑과 함께 부산의 대표상품 인 부산맛고등어, 일명 '부산맛꼬' 인지도 높이기에 나섰습니다. 코로나19 장기화로 침체된 지역 수산어가의 매출을 높이기 위한 것으로 우체국쇼핑..."
60,http://ch1.tbroad.com/,[Btv 부산뉴스]'명지소각장 폐쇄' 촉구 주민 집회 개최,,"강서구 명지동소각장 폐쇄추진 위원회와 주민들은 오늘(15일) 오전 9시부터 11시까지 명지소각장 앞에서 소각장 대보수를 반대하는 집회를 열었습니다. 명지동 단체장협의회는 ""소각장 불시점검 시 에도 플라스틱이..."
61,http://www.yonhapnewstv.co.kr/,"[탐사보도 뉴스프리즘] 개 식용 논란 ""복날은 간다""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000509464,"시민의 눈높이에서 질문하고, 한국 사회에 화두를 던지며, 더 나은 내일을 만들어 가는 <뉴스프리즘> 시작합니다! 이번 주 <뉴스프리즘>이 주목한 이슈, 함께 보시죠. [이준흠 기자] 얼마 전 문재인 대통령이 직접 ""개 식용..."
62,http://news1.kr/,[뉴스1 PICK] 남욱 변호사 귀국 '대장동의 진실은?',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005662650,경기 성남시 대장동 개발 특혜 의혹의 핵심 인물 중 하나인 남욱 변호사(48)가 18일 오전 5시1분쯤 인천국제공항에 도착하자마자 검찰에 체포됐다. 서울중앙지검 전담수사팀은 이날 오전 5시14분쯤 인천공항에 도착한 남...
63,http://www.segye.com/,글로벌 공급망 차질 장기화 우려… 한국 경제 발목 잡히나 [뉴스+],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003628958,연합뉴스 이억원 기획재정부 1차관은 지난 8일 “우리 경제는 차량용 반도체 및 일부 해외 현지생산을... 연합뉴스 최근 중국 대형 부동산 개발업체 헝다(에버그란데) 그룹의 파산설 사태는 중국 가계 소비 회복을...
